Concat	MutantID	Plate	NR Well Location	NR Well Location	R Well Location	Genomic Location	Chromosome Location	Gene Description	Gene Name	Gene Role	% into ORF	Direction of Transposon in ORF (see materials and methods)	BLAST Score	Next Best BLAST Score	Levenshtein Distance	Ambiguous location ('yes' if difference between BLAST scores is 0 or if Levenshtein Distance > 4)
15F12	EC10623	15	F12	F	12	477298	2	"formate transporter 1, putative"		Transport and binding proteins	52.3	-	607	0	0	
15H5	EC10091	15	H5	H	5	479372	2	conserved hypothetical protein		Hypothetical proteins	6.6	-	301	0	0	
15H7	EC10182	15	H7	H	7	486445	2	phnA protein	phnA	Unknown function	1.7	-	377	0	0	
15D12	EC10527	15	D12	D	12	494183	2	GGDEF family protein		Unknown function	59.1	-	77.8	0	0	
15B6	EC10101	15	B6	B	6	521079	2	conserved hypothetical protein		Hypothetical proteins	62.2	+	979	0	0	
15D4	EC9790	15	D4	D	4	530187	2	"peptide ABC transporter, periplasmic peptide-binding protein, putative"		Transport and binding proteins	11.7	-	69.9	0	0	
15E3	EC9927	15	E3	E	3	547561	2	large-conductance mechanosensitive channel	mscL	Transport and binding proteins	30.2	-	61.9	0	0	
15F6	EC10185	15	F6	F	6	568508	2	hypothetical protein			54.9	+	272	0	0	
15F5	EC9974	15	F5	F	5	585342	2	hypothetical protein			22.4	+	260	0	0	
15A5	EC9840	15	A5	A	5	586141	2	conserved hypothetical protein		Hypothetical proteins	5.8	+	563	0	0	
15H9	EC10173	15	H9	H	9	595704	2	methyl-accepting chemotaxis protein		Cellular processes	30.4	+	264	0	0	
15G10	EC10126	15	G10	G	10	605664	2	sugar transporter family protein		Transport and binding proteins	16.2	+	194	0	0	
15E6	EC10179	15	E6	E	6	664851	2	sensor histide kinase		Regulatory functions	30.7	-	188	0	0	
15C8	EC10236	15	C8	C	8	668709	2	"molybdenum ABC transporter, ATP-binding protein"	modC	Transport and binding proteins	29.6	+	930	0	0	
15F7	EC10146	15	F7	F	7	699776	2	hypothetical protein			10.3	-	65.9	0	0	
15A2	EC9892	15	A2	A	2	706168	2	conserved hypothetical protein		Hypothetical proteins	24.5	+	377	0	0	
15A1	EC9654	15	A1	A	1	710836	2	"transcriptional regulator, TetR family"		Regulatory functions	29.7	+	1005	0	0	
15D2	EC9954	15	D2	D	2	751055	2	hypothetical protein			73.3	-	1243	0	0	
15G4	EC9830	15	G4	G	4	777901	2	"methyltransferase, putative"		Central intermediary metabolism	5.8	+	630	0	0	
15H4	EC9834	15	H4	H	4	839966	2	2-amino-3-ketobutyrate coenzyme A ligase	kbl	Energy metabolism	12.9	-	775	0	0	
15E2	EC9639	15	E2	E	2	890304	2	sensory box/GGDEF family protein		Regulatory functions	5	+	220	0	0	
15B7	EC10285	15	B7	B	7	930528	2	"transcriptional regulator, LysR family"		Regulatory functions	40.8	+	289	0	0	
15H12	EC10663	15	H12	H	12	944323	2	"ATP-dependent RNA helicase, DEAD box family"		Transcription	75.1	+	184	0	0	
15G2	EC9785	15	G2	G	2	1010195	2	conserved hypothetical protein		Hypothetical proteins	30.9	+	268	0	0	
15D1	EC9704	15	D1	D	1	1049699	2	purine-binding chemotaxis protein CheW	cheW-2	Cellular processes	9.5	+	480	0	0	
16B5	EC10442	16	B5	B	5	40341	1	potassium uptake protein TrkH	trkH-1	Transport and binding proteins	14.1	+	391	0	0	
16G8	EC10806	16	G8	G	8	88956	1	DNA-damage-inducible protein F	dinF	Unknown function	6.6	-	161	0	0	
16D5	EC10460	16	D5	D	5	273154	1	D-isomer specific 2-hydroxyacid dehydrogenase family protein		Central intermediary metabolism	35.6	+	168	0	0	
16C4	EC10691	16	C4	C	4	300742	1	NifR3/Smm1 family protein		Unknown function	46.2	+	363	0	0	
16D8	EC10762	16	D8	D	8	360508	1	ribosome small subunit-dependent GTPase A	rsgA	Hypothetical proteins	45.4	-	373	0	0	
16A9	EC10862	16	A9	A	9	427805	1	MSHA biogenesis protein MshL	mshL	Cellular processes	5.9	-	519	0	0	
16A5	EC10410	16	A5	A	5	454081	1	arginine deiminase	arcA	Energy metabolism	6.8	-	450	0	0	
16C5	EC10452	16	C5	C	5	459655	1	conserved hypothetical protein		Hypothetical proteins	12.6	+	607	0	0	
16G6	EC10861	16	G6	G	6	625108	1	hypothetical protein			19.1	-	202	0	0	
16H2	EC10678	16	H2	H	2	643937	1	"phosphoglucomutase/phosphomannomutase, putative"		Energy metabolism	20.6	-	224	0	3	
16H5	EC10608	16	H5	H	5	664185	1	hypothetical protein			89.6	-	165	0	8	yes
16D7	EC10965	16	D7	D	7	696215	1	conserved hypothetical protein		Hypothetical proteins	9.5	+	244	58	0	
16E6	EC10811	16	E6	E	6	717305	1	MutT/nudix family protein		DNA metabolism	39	-	391	0	0	
16D10	EC11058	16	D10	D	10	741405	1	response regulator		Regulatory functions	27.9	+	325	0	0	
16C6	EC10700	16	C6	C	6	759833	1	clpB protein	clpB-1	Protein fate	6.2	-	200	0	0	
16G1	EC10430	16	G1	G	1	799814	1	"RNA methyltransferase, TrmH family"		Protein synthesis	1	+	761	0	0	
16E10	EC11096	16	E10	E	10	891055	1	toxin co-regulated pilin	tcpA	Cellular processes	89.6	+	147	0	2	
16E1	EC10424	16	E1	E	1	925298	1	hypothetical protein			91.8	-	400	0	0	
16B11	EC10781	16	B11	B	11	927506	1	conserved hypothetical protein		Hypothetical proteins	8	-	321	0	2	
16H6	EC10863	16	H6	H	6	983096	1	"exopolysaccharide biosynthesis protein EpsF, putative"		Cell envelope	62.2	-	410	0	0	
16H11	EC10969	16	H11	H	11	990450	1	UDP-N-acetyl-D-mannosamine transferase	cpsF	Cell envelope	37.1	+	61.9	0	0	
16F7	EC11045	16	F7	F	7	1016611	1	conserved hypothetical protein		Hypothetical proteins	99	+	266	0	0	
16C2	EC10582	16	C2	C	2	1106103	1	uridine kinase	udk	"Purines, pyrimidines, nucleosides, and nucleotides"	44.9	+	178	0	0	
16F5	EC10548	16	F5	F	5	1164491	1	conserved hypothetical protein		Hypothetical proteins	7	+	511	0	0	
16E11	EC10883	16	E11	E	11	1226127	1	hypothetical protein			17.8	+	846	0	1	
16G12	EC11131	16	G12	G	12	1247070	1	anthranilate synthase component II	trpG	Amino acid biosynthesis	42.2	+	81.8	0	0	
16B12	EC11031	16	B12	B	12	1257825	1	NifS-related protein		Central intermediary metabolism	11.6	-	876	0	0	
16A10	EC10964	16	A10	A	10	1263302	1	malate oxidoreductase	sfcA	Energy metabolism	10.8	+	1007	0	0	
16G3	EC10539	16	G3	G	3	1301330	1	hypothetical protein			19	+	400	0	0	
16E4	EC10729	16	E4	E	4	1309802	1	sodium/dicarboxylate symporter		Transport and binding proteins	26.1	+	323	0	1	
16C12	EC11073	16	C12	C	12	1348886	1	conserved hypothetical protein		Hypothetical proteins	7.5	+	490	0	0	
16D1	EC10719	16	D1	D	1	1446429	1	acylphosphatase		Fatty acid and phospholipid metabolism	66.5	-	432	0	0	
16A11	EC10779	16	A11	A	11	1449707	1	"amino acid ABC transporter, permease protein"		Transport and binding proteins	10.6	+	170	0	0	
16F12	EC11127	16	F12	F	12	1503204	1	multidrug resistance protein VceA	vceA	Transport and binding proteins	11.4	+	555	0	0	
16B6	EC10656	16	B6	B	6	1571215	1	colonization factor	cep	Cellular processes	11.2	-	329	0	0	
16B9	EC10872	16	B9	B	9	1587661	1	ATP-dependent protease LA-related protein		Hypothetical proteins	61.1	-	670	0	0	
16D11	EC10843	16	D11	D	11	1592875	1	"ABC transporter, ATP-binding protein"		Transport and binding proteins	5.8	-	720	0	0	
16E8	EC10764	16	E8	E	8	1643421	1	hypothetical protein			40.2	+	337	0	0	
16C10	EC11010	16	C10	C	10	1657576	1	tonB2 protein	tonB2	Transport and binding proteins	45	+	145	0	0	
16E5	EC10510	16	E5	E	5	1663962	1	"glycerol-3-phosphate ABC transporter, permease protein"	ugpE	Transport and binding proteins	51.3	+	232	0	0	
16D2	EC10618	16	D2	D	2	1704740	1	GGDEF family protein		Unknown function	9.3	+	460	0	0	
16H3	EC10545	16	H3	H	3	1761497	1	ribosomal small subunit pseudouridine synthase A		Protein synthesis	25.7	+	315	0	0	
16F2	EC10664	16	F2	F	2	1794309	1	hypothetical protein			65.6	-	270	0	0	
16G5	EC10596	16	G5	G	5	1975791	1	conserved hypothetical protein		Hypothetical proteins	99.6	+	184	0	0	
16E7	EC11015	16	E7	E	7	2034687	1	hypothetical protein			79.8	-	264	0	0	
16B7	EC10909	16	B7	B	7	2039070	1	NADH dehydrogenase	ndh	Energy metabolism	32.9	-	545	0	0	
16E2	EC10626	16	E2	E	2	2118260	1	methyl-accepting chemotaxis protein		Cellular processes	16.5	-	622	0	1	
16H10	EC11110	16	H10	H	10	2129686	1	"aspartate aminotransferase, putative"		Amino acid biosynthesis	35.7	+	379	0	0	
16G10	EC11108	16	G10	G	10	2150404	1	conserved hypothetical protein		Hypothetical proteins	10.8	-	317	0	0	
16A8	EC11061	16	A8	A	8	2210965	1	heme exporter protein D	ccmD	Transport and binding proteins	92.2	-	206	0	0	
16H7	EC11053	16	H7	H	7	2244902	1	"succinyl-CoA synthase, beta subunit"	sucC	Energy metabolism	29	-	111	0	0	
16A3	EC10708	16	A3	A	3	2245993	1	"2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase"	sucB	Energy metabolism	51.5	+	662	0	1	
16D9	EC10904	16	D9	D	9	2296082	1	flagellin FlaG	flaG	Cellular processes	30.5	-	373	0	0	
16B4	EC10649	16	B4	B	4	2301723	1	conserved hypothetical protein		Hypothetical proteins	12.2	+	500	0	0	
16E9	EC10912	16	E9	E	9	2316942	1	uracil permease	uraA	Transport and binding proteins	20.7	+	196	0	0	
16B8	EC11097	16	B8	B	8	2363816	1	ferric vibriobactin receptor	viuA	Transport and binding proteins	13.2	-	509	0	0	
16H1	EC10440	16	H1	H	1	2379426	1	GGDEF family protein		Unknown function	5.8	+	747	0	0	
16A4	EC10553	16	A4	A	4	2505325	1	phosphopentomutase	deoB	"Purines, pyrimidines, nucleosides, and nucleotides"	23.9	+	244	0	0	
16D4	EC10697	16	D4	D	4	2514835	1	hypothetical protein			7.4	+	531	0	0	
16C9	EC10902	16	C9	C	9	2542245	1	"glutamate synthase, small subunit"	gltD-2	Amino acid biosynthesis	7.7	+	983	0	0	
16F10	EC11102	16	F10	F	10	2609934	1	MutT/nudix family protein		DNA metabolism	61.6	-	101	0	2	
16A1	EC10675	16	A1	A	1	2830360	1	elongation factor P	efp	Protein synthesis	70.4	-	137	0	0	
16C3	EC10399	16	C3	C	3	2844777	1	"transcriptional repressor, LacI family"		Regulatory functions	26.4	+	194	0	0	
16C1	EC10705	16	C1	C	1	2889159	1	"transcriptional regulator OmpR,"	ompR	Regulatory functions	2.2	-	178	0	0	
16D3	EC10445	16	D3	D	3	51071	2	conserved hypothetical protein		Hypothetical proteins	37.3	+	192	0	0	
16G2	EC10674	16	G2	G	2	76839	2	hypothetical protein			13.5	-	628	0	0	
16E3	EC10455	16	E3	E	3	81558	2	"phosphate ABC transporter, permease protein"	pstA-2	Transport and binding proteins	30.8	-	533	0	0	
16C8	EC11109	16	C8	C	8	115459	2	hypothetical protein			11.1	-	428	0	0	
16A6	EC10634	16	A6	A	6	175810	2	hypothetical protein			86	+	155	0	0	
16A2	EC10478	16	A2	A	2	249024	2	"vibriobactin and enterobactin ABC transporter, periplasmic vibriobactin/enterobactin-binding protein"	vctP	Transport and binding proteins	25.5	+	1257	319	1	
16G7	EC11049	16	G7	G	7	276783	2	transcriptional regulator		Regulatory functions	33.2	+	636	0	0	
16F9	EC10914	16	F9	F	9	63163	2	hypothetical protein			9.7	+	65.9	65.9	0	yes
16F6	EC10851	16	F6	F	6	354957	2	hypothetical protein			9.4	-	559	0	0	
16C11	EC10831	16	C11	C	11	389307	2	hypothetical protein			75.2	+	442	331	0	
16G11	EC10923	16	G11	G	11	389839	2	hypothetical protein			72.1	+	143	135	0	
16A12	EC10973	16	A12	A	12	375354	2	conserved hypothetical protein		Hypothetical proteins	54	-	628	628	0	yes
16F9	EC10914	16	F9	F	9	63163	2	hypothetical protein			24.8	-	65.9	65.9	0	yes
16C7	EC10949	16	C7	C	7	437243	2	hypothetical protein			11.1	-	545	0	0	
16B3	EC10397	16	B3	B	3	492926	2	hypothetical protein			71.6	+	424	0	0	
16F4	EC10745	16	F4	F	4	539741	2	"ABC transporter, ATP-binding protein"		Transport and binding proteins	28.4	-	153	0	0	
16F1	EC10428	16	F1	F	1	554765	2	"thiosulfate sulfurtransferase SseA, putative"		Central intermediary metabolism	17.9	+	470	0	0	
16G9	EC10916	16	G9	G	9	577079	2	conserved hypothetical protein		Hypothetical proteins	76.2	-	791	0	0	
16G4	EC10404	16	G4	G	4	635222	2	sensory box/GGDEF family protein		Regulatory functions	5.8	+	365	0	0	
16F8	EC10776	16	F8	F	8	655499	2	sensor protein TorS	torS	Regulatory functions	12.4	+	111	0	0	
16H9	EC10920	16	H9	H	9	657769	2	pyrazinamidase/nicotinamidase	pncA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	45.4	+	63.9	0	0	
16B1	EC10677	16	B1	B	1	705006	2	hypothetical protein			64.2	+	632	137	0	
16H4	EC10408	16	H4	H	4	822569	2	"transcriptional regulator, GntR family"		Regulatory functions	11.6	+	965	0	0	
16A7	EC10869	16	A7	A	7	854598	2	hypothetical protein			14.6	+	416	0	0	
16D12	EC11087	16	D12	D	12	887186	2	hypothetical protein			94.9	-	480	0	13	
16B2	EC10530	16	B2	B	2	889102	2	"transcriptional regulator, AraC/XylS family"		Regulatory functions	4.5	-	553	0	0	
16F11	EC10885	16	F11	F	11	892423	2	acyl-CoA thioester hydrolase-related protein		Unknown function	29.1	-	121	0	3	
16F3	EC10505	16	F3	F	3	909757	2	GGDEF family protein		Unknown function	7.2	-	714	0	0	
16B10	EC11002	16	B10	B	10	919564	2	conserved hypothetical protein		Hypothetical proteins	5.2	+	161	0	0	
16E12	EC11125	16	E12	E	12	942707	2	conserved hypothetical protein		Hypothetical proteins	8.4	+	478	69.9	3	
16D6	EC10763	16	D6	D	6	967350	2	ada regulatory protein	ada	DNA metabolism	6.9	-	184	0	0	
16H8	EC10860	16	H8	H	8	1055059	2	"ABC transporter, permease protein"		Transport and binding proteins	14.3	+	517	0	0	
17C5	EC11169	17	C5	C	5	31897	1	conserved hypothetical protein		Hypothetical proteins	24.5	-	337	0	0	
17F8	EC11523	17	F8	F	8	60122	1	thiamin biosynthesis protein ThiC	thiC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	7	-	180	0	0	
17E4	EC11244	17	E4	E	4	89895	1	O-methyltransferase-related protein			10.5	-	611	0	0	
17E5	EC11211	17	E5	E	5	91167	1	glycerol-3-phosphate acyltransferase	plsB	Fatty acid and phospholipid metabolism	8.8	-	575	0	0	
17D7	EC11328	17	D7	D	7	142827	1	"transcriptional regulator, TetR family"		Regulatory functions	7.9	+	519	0	0	
17A10	EC11528	17	A10	A	10	194480	1	DNA helicase II	uvrD	DNA metabolism	12.3	-	922	0	0	
17F4	EC11250	17	F4	F	4	396474	1	hypothetical protein			48.8	-	561	0	0	
17A9	EC11591	17	A9	A	9	414109	1	"aspartokinase III, lysine-sensitive"	lysC	Amino acid biosynthesis	8.2	+	93.7	0	1	
17G2	EC11253	17	G2	G	2	624361	1	sugar fermentation stimulation protein	sfsA	Regulatory functions	35.9	+	113	0	0	
17H2	EC11285	17	H2	H	2	677520	1	cell division protein FtsJ	ftsJ	Cellular processes	22.8	+	436	0	0	
17H4	EC11304	17	H4	H	4	732314	1	"peptidyl-prolyl cis-trans isomerase, FKBP-type"	fkpB	Protein fate	18.8	+	198	0	8	yes
17D10	EC11640	17	D10	D	10	747365	1	"ABC transporter, ATP-binding protein"		Transport and binding proteins	39.3	+	690	58	0	
17C7	EC11316	17	C7	C	7	817117	1	hypothetical protein			8.8	+	686	0	0	
17H6	EC11507	17	H6	H	6	876291	1	aldehyde dehydrogenase	aldA-1	Energy metabolism	37.4	-	190	0	1	
17B10	EC11588	17	B10	B	10	428966	1	hypothetical protein			58.1	-	331	331	10	yes
17F3	EC11487	17	F3	F	3	1040662	1	conserved hypothetical protein		Hypothetical proteins	45.8	+	965	0	0	
17B3	EC11299	17	B3	B	3	1091735	1	phosphorelay protein	luxU	Cellular processes	32.8	+	490	0	2	
17H11	EC11753	17	H11	H	11	1112705	1	long-chain fatty acid transport protein	fadL-2	Transport and binding proteins	8.8	-	93.7	0	0	
17C3	EC11341	17	C3	C	3	1143751	1	hypothetical protein			9.5	+	1061	0	0	
17A8	EC11466	17	A8	A	8	1196998	1	inosine-guanosine kinase	gsk-1	"Purines, pyrimidines, nucleosides, and nucleotides"	13.8	+	959	0	0	
17E11	EC11697	17	E11	E	11	1207906	1	phosphoribosyl-ATP pyrophosphatase/phosphoribosyl-AMP cyclohydrolase	hisI	Amino acid biosynthesis	18.6	+	113	0	0	
17E12	EC11883	17	E12	E	12	1245715	1	anthranilate phosphoribosyltransferase	trpD	Amino acid biosynthesis	98.4	+	117	0	0	
17G6	EC11503	17	G6	G	6	1257079	1	hypothetical protein			5.1	-	404	0	0	
17B12	EC11841	17	B12	B	12	1283590	1	hypothetical protein			5.4	-	478	0	0	
17A3	EC11297	17	A3	A	3	1350867	1	sensor histidine kinase		Regulatory functions	6.4	+	726	0	0	
17D8	EC11508	17	D8	D	8	1385703	1	"fumarate hydratase, class I, putative"		Energy metabolism	20.3	-	513	0	0	
17D6	EC11467	17	D6	D	6	1403548	1	sensor histidine kinase		Regulatory functions	7.6	-	172	0	0	
17B1	EC10838	17	B1	B	1	1403739	1	DNA-binding response regulator		Regulatory functions	90.9	-	543	0	1	
17A11	EC11603	17	A11	A	11	1452856	1	siroheme synthase component enzyme		"Biosynthesis of cofactors, prosthetic groups, and carriers"	22.4	+	180	0	0	
17B2	EC11036	17	B2	B	2	1455747	1	exsB protein	exsB	Unknown function	36.6	-	129	0	0	
17G1	EC10938	17	G1	G	1	1508893	1	thermostable carboxypeptidase 1		Protein fate	34.2	+	398	0	0	
17A5	EC11386	17	A5	A	5	1220120	1	transcriptional repressor RstR	rstR-1	Mobile and extrachromosomal element functions	91.7	-	517	517	0	yes
17A5	EC11386	17	A5	A	5	1220120	1	transcriptional repressor RstR	rstR-2	Mobile and extrachromosomal element functions	91.7	-	517	517	0	yes
17E2	EC11151	17	E2	E	2	1579125	1	hypothetical protein			47.3	+	430	392	0	
17G5	EC11277	17	G5	G	5	1610044	1	"ABC transporter, ATP-binding protein"		Transport and binding proteins	14.5	+	351	0	0	
17C2	EC11038	17	C2	C	2	1660357	1	hypothetical protein			76.3	+	319	63.9	10	
17H5	EC11361	17	H5	H	5	1712909	1	GGDEF family protein		Unknown function	16	-	385	0	0	
17E3	EC11431	17	E3	E	3	1744494	1	carboxynorspermidine decarboxylase	nspC	Central intermediary metabolism	46.7	+	359	0	0	
17A1	EC11133	17	A1	A	1	1785347	1	sensory box sensor histidine kinase/response regulator VieS	vieS	Regulatory functions	24.2	-	299	0	0	
17G9	EC11873	17	G9	G	9	1948815	1	hypothetical protein			5.4	-	630	0	0	
17F2	EC11199	17	F2	F	2	1954529	1	conserved hypothetical protein		Hypothetical proteins	34.6	-	240	0	0	
17G7	EC11454	17	G7	G	7	1962342	1	"PTS system, fructose-specific IIBC component"	frwBC	Transport and binding proteins	56.3	+	345	0	0	
17C10	EC11590	17	C10	C	10	2075584	1	hypothetical protein			55.6	+	159	0	0	
17F9	EC11829	17	F9	F	9	2115358	1	hypothetical protein			14	+	866	0	1	
17C1	EC10884	17	C1	C	1	2144680	1	formyltetrahydrofolate deformylase	purU	"Purines, pyrimidines, nucleosides, and nucleotides"	89.6	+	291	0	0	
17F1	EC10928	17	F1	F	1	2210687	1	cytochrome c-type biogenesis protein CcmE	ccmE	Energy metabolism	54.9	-	293	0	1	
17E10	EC11686	17	E10	E	10	2257262	1	phosphoglucomutase	pgm	Energy metabolism	32.5	+	361	0	0	
17F12	EC11895	17	F12	F	12	2373945	1	beta-N-acetylhexosaminidase	chb-2	Energy metabolism	7.2	-	1118	0	0	
17H8	EC11583	17	H8	H	8	2443123	1	DNA-damage-inducible protein P	dinP	Unknown function	26.7	+	1215	0	0	
17F7	EC11418	17	F7	F	7	2450117	1	"NADH:ubiquinone oxidoreductase, Na translocating, alpha subunit"	nqrA	Energy metabolism	50.7	-	107	0	0	
17D12	EC11881	17	D12	D	12	2458678	1	hypothetical protein			48.9	+	141	0	0	
17D4	EC11202	17	D4	D	4	2463841	1	membrane-bound lytic murein transglycosylase A	mltA	Cell envelope	13.9	-	95.6	0	0	
17D1	EC10886	17	D1	D	1	2543873	1	conserved hypothetical protein		Hypothetical proteins	32	-	202	0	0	
17F10	EC11736	17	F10	F	10	2544410	1	MTA/SAH nucleosidase	pfs	Central intermediary metabolism	22.1	-	238	0	0	
17D5	EC11179	17	D5	D	5	2622242	1	conserved hypothetical protein		Hypothetical proteins	14.6	+	212	198	0	
17B6	EC11449	17	B6	B	6	2747938	1	elaA protein	elaA	Central intermediary metabolism	47.4	-	450	0	3	
17G8	EC11527	17	G8	G	8	2808865	1	"transcriptional regulator, LysR family"		Regulatory functions	35.2	-	428	0	0	
17F5	EC11275	17	F5	F	5	2821620	1	conserved hypothetical protein		Hypothetical proteins	21.7	+	539	0	0	
17A4	EC11188	17	A4	A	4	2892919	1	hypothetical protein			6	+	79.8	0	0	
17G3	EC11493	17	G3	G	3	2912152	1	conserved hypothetical protein		Hypothetical proteins	17.1	-	226	0	0	
17E7	EC11404	17	E7	E	7	11599	2	malT regulatory protein	malT	Regulatory functions	5.5	-	525	0	0	
17B11	EC11605	17	B11	B	11	40734	2	hypothetical protein			24.3	-	339	0	0	
17D11	EC11661	17	D11	D	11	62408	2	conserved hypothetical protein		Hypothetical proteins	7.1	+	93.7	0	0	
17C11	EC11645	17	C11	C	11	168865	2	"oxidoreductase, putative"		Central intermediary metabolism	18.1	-	722	0	0	
17D9	EC11721	17	D9	D	9	187156	2	hypothetical protein			20.4	+	283	0	0	
17F6	EC11501	17	F6	F	6	190007	2	conserved hypothetical protein		Hypothetical proteins	18.5	-	823	0	0	
17B5	EC11492	17	B5	B	5	213701	2	GMP reductase	guaC	"Purines, pyrimidines, nucleosides, and nucleotides"	47.1	+	319	0	0	
17B10	EC11588	17	B10	B	10	428964	2	hypothetical protein			86.1	-	331	331	10	yes
17A6	EC11409	17	A6	A	6	226459	2	"response regulator, putative"		Regulatory functions	55.2	+	210	0	0	
17E9	EC11729	17	E9	E	9	234011	2	hypothetical protein			38.3	+	1015	0	0	
17F11	EC11705	17	F11	F	11	261831	2	"hexulose-6-phosphate isomerase SgbU, putative"		Energy metabolism	78.3	-	242	0	0	
17C6	EC11451	17	C6	C	6	271903	2	hypothetical protein			77.2	+	438	0	0	
17G10	EC11567	17	G10	G	10	280025	2	hypothetical protein			60.7	+	240	0	0	
17D2	EC11120	17	D2	D	2	328343	2	DNA-damage-inducible protein J	dinJ	Unknown function	78	-	456	0	0	
17C9	EC11675	17	C9	C	9	381529	2	hypothetical protein			16.3	+	470	204	1	
17C8	EC11472	17	C8	C	8	391394	2	hypothetical protein			8.6	+	262	198	0	
17E8	EC11510	17	E8	E	8	400738	2	haemagglutinin associated protein		Cellular processes	55.4	-	819	151	0	
17D3	EC11427	17	D3	D	3	401354	2	hypothetical protein			8.4	-	456	448	0	
17C4	EC11192	17	C4	C	4	447674	2	1-phosphofructokinase	fruK	Energy metabolism	20.2	+	757	0	0	
17H1	EC10970	17	H1	H	1	461713	2	conserved hypothetical protein		Hypothetical proteins	34.7	-	474	0	0	
17E1	EC10892	17	E1	E	1	473795	2	conserved hypothetical protein		Hypothetical proteins	27.8	+	914	0	0	
17A12	EC11837	17	A12	A	12	519341	2	hypothetical protein			15.4	-	702	0	1	
17B4	EC11190	17	B4	B	4	578363	2	conserved hypothetical protein		Hypothetical proteins	38.3	-	561	0	0	
17H7	EC11462	17	H7	H	7	579015	2	"NADH oxidase, putative"		Energy metabolism	24.5	+	127	0	0	
17B7	EC11170	17	B7	B	7	623125	2	"iron(III) ABC transporter, permease protein"		Transport and binding proteins	23	+	430	0	0	
17A2	EC11026	17	A2	A	2	697544	2	conserved hypothetical protein		Hypothetical proteins	7	+	591	0	0	
17B9	EC11631	17	B9	B	9	746007	2	"serine protease, putative"		Protein fate	34	+	500	0	0	
17C12	EC11843	17	C12	C	12	868579	2	"hemin ABC transporter, permease protein, putative"		Transport and binding proteins	18	-	1013	0	0	
17H3	EC11150	17	H3	H	3	880914	2	"transcriptional regulator, AraC/XylS family"		Regulatory functions	10.8	-	527	0	0	
17G11	EC11709	17	G11	G	11	903148	2	"chemotaxis protein CheV, putative"		Cellular processes	2	-	563	0	0	
17E6	EC11471	17	E6	E	6	951694	2	hypothetical protein			6.6	-	287	0	0	
17A7	EC11511	17	A7	A	7	955343	2	"transcriptional regulator, AraC/XylS family"		Regulatory functions	24.9	+	387	0	0	
17H10	EC11593	17	H10	H	10	1007555	2	methyl-accepting chemotaxis protein		Cellular processes	8.1	+	115	0	0	
17G4	EC11284	17	G4	G	4	1035704	2	hypothetical protein			28.1	+	387	0	0	
17B8	EC11470	17	B8	B	8	1062094	2	DNA-binding response regulator		Regulatory functions	11.2	-	174	0	0	
18G12	EC12540	18	G12	G	12	5558	1	"amino acid ABC transporter, ATP-binding protein"		Transport and binding proteins	6.5	+	850	0	0	
18B3	EC12055	18	B3	B	3	131397	1	conserved hypothetical protein		Hypothetical proteins	6.6	-	387	0	0	
18H5	EC12262	18	H5	H	5	144843	1	tRNA (uracil-5-)-methyltransferase	trmA	Protein synthesis	11.8	-	771	0	0	
18E5	EC12108	18	E5	E	5	150422	1	RNA-binding protein		Transcription	16.3	+	525	60	0	
18H11	EC12304	18	H11	H	11	157197	1	transcriptional activator IlvY	ilvY	Regulatory functions	12	-	226	0	0	
18E12	EC12402	18	E12	E	12	157540	1	ketol-acid reductoisomerase	ilvC	Amino acid biosynthesis	6.8	-	436	0	0	
18D11	EC12579	18	D11	D	11	301898	1	ribosomal protein L11 methyltransferase	prmA	Protein synthesis	34.2	+	321	0	0	
18F2	EC11923	18	F2	F	2	376896	1	conserved hypothetical protein		Hypothetical proteins	45.7	-	535	0	0	
18E6	EC11987	18	E6	E	6	391963	1	conserved hypothetical protein		Hypothetical proteins	18.6	+	799	0	0	
18H2	EC12009	18	H2	H	2	431658	1	MSHA biogenesis protein MshE	mshE	Cellular processes	16.3	+	165	0	3	
18E10	EC12297	18	E10	E	10	463955	1	arginine/ornithine antiporter		Transport and binding proteins	21.6	-	456	0	0	
18G10	EC12341	18	G10	G	10	559065	1	"undecaprenol kinase, putative"		Cellular processes	24.6	+	95.6	0	0	
18B12	EC12392	18	B12	B	12	653392	1	"peptide ABC transporter, ATP-binding protein"		Transport and binding proteins	7.7	-	188	0	0	
18E9	EC12122	18	E9	E	9	655291	1	"peptide ABC transporter, permease protein"		Transport and binding proteins	19.6	-	232	0	0	
18E4	EC11960	18	E4	E	4	820413	1	inosine-5`-monophosphate dehydrogenase	guaB	"Purines, pyrimidines, nucleosides, and nucleotides"	27.4	-	1037	0	0	
18F12	EC12484	18	F12	F	12	838657	1	conserved hypothetical protein		Hypothetical proteins	14	+	379	0	0	
18B1	EC11606	18	B1	B	1	905606	1	accessory colonization factor AcfA	acfA	Cellular processes	93	-	438	0	0	
18H1	EC11738	18	H1	H	1	931725	1	hypothetical protein			39.1	+	575	0	0	
18H10	EC12355	18	H10	H	10	963343	1	conserved hypothetical protein		Hypothetical proteins	36.3	-	418	0	1	
18A8	EC11934	18	A8	A	8	1021487	1	leucyl-tRNA synthetase	leuS	Protein synthesis	0.6	+	236	0	2	
